Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
9/21/2022,MUCHO BURRITO,MUCHO BURRITO,12.08,debit,Restaurants,TD CASH BACK VISA* CARD,,
9/21/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,7.69,debit,Groceries,TD CASH BACK VISA* CARD,,
9/21/2021,DOORDASH*MEETRI _V,DOORDASH*MEETRI _V,17.53,debit,Restaurants,Cash,,
9/21/2021,Subway,Subway,11.43,debit,Restaurants,Cash,,
9/21/2021,Safeway,Safeway,9.3,debit,Groceries,Cash,,
9/20/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,23.82,debit,Groceries,TD CASH BACK VISA* CARD,,
9/20/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,7.02,debit,Groceries,TD CASH BACK VISA* CARD,,
9/20/2021,CATTLE CAFE _F,SQ *CATTLE CAFE _F,59.92,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/19/2021,OOMOMO METROTOW _F,OOMOMO METROTOW _F,18.48,debit,Shopping,Cash,,
9/19/2021,Real Canadian Superstore,Real Canadian Superstore,14.94,debit,Groceries,Cash,,
9/19/2021,Dollarama,Dollarama,12.04,debit,Shopping,Cash,,
9/19/2021,Tim Horton's,Tim Horton's,9.16,debit,Restaurants,Cash,,
9/18/2021,Real Canadian Superstore,REAL CDN SUPERSTORE #1,31.11,debit,Groceries,TD CASH BACK VISA* CARD,,
9/18/2021,DOORDASH*POKEY _V,DOORDASH*POKEY _V,16.21,debit,Restaurants,Cash,,
9/17/2021,Savingsoffer Msp,SavingsOffer$50 MSP,50,credit,Income,TD UNLIMITED CHEQUING ACCOUNT,,
9/17/2021,Doordash,Doordash,14.99,debit,Restaurants,Cash,,
9/17/2021,Uber Eats,Uber Eats,10.91,debit,Restaurants,Cash,,
9/16/2022,Learning Car,Learning Car,100,debit,Auto & Transport,Cash,,
9/16/2021,Pts Frm,PTS FRM: 00916918662,50,credit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
9/16/2021,PTS TO: 00916923283,PTS TO: 00916923283,50,debit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
9/16/2021,OOMOMO METROTOW _F,OOMOMO METROTOW _F,5.88,debit,Shopping,Cash,,
9/15/2022,REVENUE SERVICES BC,REVENUE SERVICES BC,75,debit,Health Insurance,TD CASH BACK VISA* CARD,,
9/15/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,30.48,debit,Groceries,TD CASH BACK VISA* CARD,,
9/15/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,9.68,debit,Groceries,TD CASH BACK VISA* CARD,,
9/15/2022,PRICESMART FOODS #2281,PRICESMART FOODS #2281,6.81,debit,Groceries,TD CASH BACK VISA* CARD,,
9/15/2021,Real Canadian Superstore,Real Canadian Superstore,18.98,debit,Groceries,Cash,,
9/14/2022,KOYA JAPAN,KOYA JAPAN,14.96,debit,Fast Food,TD CASH BACK VISA* CARD,,
9/14/2021,Real Canadian Superstore,Real Canadian Superstore,39.38,debit,Groceries,Cash,,
9/14/2021,MEET RICE NOODL _F,MEET RICE NOODL _F,16.12,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/14/2021,Doordash,Doordash,14.27,debit,Restaurants,Cash,,
9/14/2021,KFC,KFC,10.65,debit,Restaurants,Cash,,
9/13/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,16.72,debit,Groceries,TD CASH BACK VISA* CARD,,
9/13/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,5.68,debit,Groceries,TD CASH BACK VISA* CARD,,
9/13/2021,DOORDASH*POKEY _V,DOORDASH*POKEY _V,16.21,debit,Restaurants,Cash,,
9/13/2021,Doordash,Doordash,14.9,debit,Restaurants,Cash,,
9/12/2022,KASUGA SUSHI & _F,KASUGA SUSHI & _F,14.44,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/12/2021,Walmart,Walmart,316.96,debit,Home,Cash,,
9/12/2021,Real Canadian Superstore,Real Canadian Superstore,31.53,debit,Groceries,Cash,,
9/12/2021,Subway,Subway,9.86,debit,Restaurants,Cash,,
9/12/2021,Dollarama,Dollarama,8.41,debit,Shopping,Cash,,
9/11/2022,Douglas Bookstore,Douglas Bookstore,128.05,debit,Education,Cash,,
9/11/2021,Real Canadian Superstore,Real Canadian Superstore,59.99,debit,Groceries,Cash,,
9/11/2021,Dollarama,Dollarama,30.02,debit,Shopping,Cash,,
9/11/2021,Doordash,Doordash,14.48,debit,Restaurants,Cash,,
9/11/2021,Bourbon st grill,Bourbon st grill,12,debit,Restaurants,Cash,,
9/10/2021,Dollarama,DOLLARAMA #1010 _F,23.02,debit,Shopping,TD UNLIMITED CHEQUING ACCOUNT,,
9/10/2021,DOORDASH*TIM HO _V,DOORDASH*TIM HO _V,15.67,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/10/2021,Real Canadian Superstore,REAL CDN SUPERS _F,7.01,debit,Groceries,TD UNLIMITED CHEQUING ACCOUNT,,
9/10/2021,T & T Supermarket,T&T SUPERMARKET,5.2,debit,Groceries,TD UNLIMITED CHEQUING ACCOUNT,,
9/09/2022,Learning Car,Learning Car,100,debit,Auto & Transport,Cash,,
9/09/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,6.29,debit,Groceries,TD CASH BACK VISA* CARD,,
9/09/2021,PTS TO: 00916923283,PTS TO: 00916923283,50,debit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
9/09/2021,Pts Frm,PTS FRM: 00916918662,50,credit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
9/09/2021,DOORDASH*POKEY _V,DOORDASH*POKEY _V,16.21,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/09/2021,DOORDASH*MILK & _V,DOORDASH*MILK & _V,15.36,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/08/2022,PRICESMART FOODS #2281,PRICESMART FOODS #2281,32.85,debit,Groceries,TD CASH BACK VISA* CARD,,
9/08/2022,Restaurant,Restaurant,14.5,debit,Restaurants,Cash,,
9/08/2022,POPEYES LOUISIANA KITC,POPEYES LOUISIANA KITC,12.05,debit,Restaurants,TD CASH BACK VISA* CARD,,
9/08/2021,View more E-TRANSFER ***PQG View more E-TRANSFER ***PQG,View more E-TRANSFER ***PQG View more E-TRANSFER ***PQG,7000,credit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
9/08/2021,W M ANDERSON AG,W M ANDERSON AG,250,debit,Home Insurance,TD UNLIMITED CHEQUING ACCOUNT,,
9/08/2021,Apple,APPLE STORE #R4,28,debit,Electronics & Software,TD UNLIMITED CHEQUING ACCOUNT,,
9/08/2021,KFC,KFC METROPOLIS _F,13.08,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/07/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,10.66,debit,Groceries,TD CASH BACK VISA* CARD,,
9/07/2021,View more SEND E-TFR ***Wxw View more SEND E-TFR ***Wxw,View more SEND E-TFR ***Wxw View more SEND E-TFR ***Wxw,1233.33,debit,Mortgage & Rent,TD UNLIMITED CHEQUING ACCOUNT,,
9/07/2021,IKEA,IKEA RICHMOND _F,195.74,debit,Furnishings,TD UNLIMITED CHEQUING ACCOUNT,,
9/07/2021,Fido,FIDO Mobile *** _V,104.42,debit,Mobile Phone,TD UNLIMITED CHEQUING ACCOUNT,,
9/07/2021,DOORDASH*PHO CE _V,DOORDASH*PHO CE _V,16.74,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/07/2021,DOORDASH*TIM HO _V,DOORDASH*TIM HO _V,16.74,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/07/2021,MARUTAMA RA-MEN _F,MARUTAMA RA-MEN _F,16.17,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/07/2021,DOORDASH*MEETRI _V,DOORDASH*MEETRI _V,15.7,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/07/2021,BK #14160 _F,BK #14160 _F,10.12,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/07/2021,Tim Horton's,TIM HORTONS #48 _F,6.29,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/07/2021,T & T Supermarket,T&T SUPERMARKET,4.65,debit,Groceries,TD UNLIMITED CHEQUING ACCOUNT,,
9/07/2021,Real Canadian Superstore,REAL CDN SUPERS _F,4.03,debit,Groceries,TD UNLIMITED CHEQUING ACCOUNT,,
9/06/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,11.62,debit,Groceries,TD CASH BACK VISA* CARD,,
9/06/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,7.94,debit,Groceries,TD CASH BACK VISA* CARD,,
9/06/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,5.03,debit,Groceries,TD CASH BACK VISA* CARD,,
9/05/2022,NordVPN,Nord,133.71,debit,Business Services,Cash,,
9/05/2022,TELUS PRE-AUTH PAYMENT,TELUS PRE-AUTH PAYMENT,99.93,debit,Mobile Phone,TD CASH BACK VISA* CARD,,
9/04/2022,FIDO Mobile ******3898,FIDO Mobile ******3898,37.4,debit,Mobile Phone,TD CASH BACK VISA* CARD,,
9/03/2022,SQ *TEA CUBED PATISSERIE,SQ *TEA CUBED PATISSERIE,11.02,debit,Coffee Shops,TD CASH BACK VISA* CARD,,
9/03/2021,DOORDASH*POKEY _V,DOORDASH*POKEY _V,17.03,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/03/2021,DOORDASH*MILK & _V,DOORDASH*MILK & _V,16.14,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/02/2021,View more SEND E-TFR ***ZeU View more SEND E-TFR ***ZeU,View more SEND E-TFR ***ZeU View more SEND E-TFR ***ZeU,925,debit,Mortgage & Rent,TD UNLIMITED CHEQUING ACCOUNT,,
9/02/2021,Pts Frm,PTS FRM: 00916918662,50,credit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
9/02/2021,PTS TO: 00916923283,PTS TO: 00916923283,50,debit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
9/02/2021,DOORDASH*HI FIV _V,DOORDASH*HI FIV _V,16.45,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/02/2021,Subway,DOORDASH*SUBWAY _V,9.61,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
9/01/2022,Rent,Rent,1850,debit,Mortgage & Rent,Cash,,
9/01/2022,T&T SUPERMARKET #001,T&T SUPERMARKET #001,24.76,debit,Groceries,TD CASH BACK VISA* CARD,,
9/01/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,7,debit,Groceries,TD CASH BACK VISA* CARD,,
9/01/2022,Real Canadian Superstore,Real Canadian Superstore,3.39,debit,Groceries,Cash,,
9/01/2021,TRANSFER,TRANSFER,2000,credit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
9/01/2021,TRANSFER,TRANSFER,2000,debit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
9/01/2021,UNIQLO METROTOW _F,UNIQLO METROTOW _F,66.87,debit,Clothing,TD UNLIMITED CHEQUING ACCOUNT,,
9/01/2021,DOORDASH*MEETRI _V,DOORDASH*MEETRI _V,8.42,debit,Restaurants,TD UNLIMITED CHEQUING ACCOUNT,,
8/31/2022,MONTHLY ACCOUNT FEE,MONTHLY ACCOUNT FEE,16.95,debit,Bank Fee,TD UNLIMITED CHEQUING ACCOUNT,,
8/31/2022,ACCT FEE REBATE,ACCT FEE REBATE,16.95,credit,Fees & Charges,TD UNLIMITED CHEQUING ACCOUNT,,
8/31/2022,PTS TO: 00916923283,PTS TO: 00916923283,10,debit,Transfer,TD UNLIMITED CHEQUING ACCOUNT,,
8/31/2022,Pts Frm,PTS FRM: 00916918662,10,credit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
8/31/2022,REAL CDN SUPERSTORE #1,REAL CDN SUPERSTORE #1,9.68,debit,Groceries,TD CASH BACK VISA* CARD,,
